MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose
"elf003","Azari Firedancer, Magenta","Elves / General",2,0,
"col098","Aztec Warrior - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",1,0,
"col260","Baby - Bright Light Blue Body with Elephant Bib - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col259","Babysitter - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"lor100","Bain Son of Bard - Coat with Fur Trim","The Hobbit and the Lord of the Rings / The Hobbit / The Battle of the Five Armies",1,0,
"col237","Ballerina - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"twn215","Balloon Vendor (40108)","Town / General",1,0,
"col258","Banana Man - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"twn251","Bank Manager (10251)","Town / General",1,0,
"twn252","Bank Secretary (10251)","Town / General",1,0,
"twn248","Bank Teller (10251)","Town / General",1,0,
"col224","Banshee - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"coltlbm06","Barbara Gordon - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"col163","Barbarian - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"lor099","Bard the Bowman (79016)","The Hobbit and the Lord of the Rings / The Hobbit / The Battle of the Five Armies",1,0,
"sw379","Barriss Offee - Dark Blue Cape and Hood","Star Wars / Star Wars Clone Wars",1,0,
"sim031","Bart as Bartman - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"sim008","Bart Simpson with Slingshot in Back Pocket Pattern - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"col157","Baseball Fielder - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sh016a","Batman - Black Suit with Yellow Belt and Crest (Type 2 Cowl)","Super Heroes / Batman II",1,0,
"sh318","Batman - Utility Belt, Head Type 2","Super Heroes / The LEGO Batman Movie",2,0,
"sh019","Batman - Wings and Jet Pack (Type 1 Cowl)","Super Heroes / Batman II",1,0,
"sw467b","Battle Droid Dark Orange with Back Plate","Star Wars / Star Wars Episode 2",1,0,
"sw001b","Battle Droid Tan without Back Plate","Star Wars / General",1,0,
"sw001c","Battle Droid with 1 Straight Arm","Star Wars / General",1,0,
"col295","Battle Dwarf - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",3,0,
"col183","Battle Goddess - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col141","Battle Mech - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"nex082","Battle Suit Lance","Nexo Knights / General",1,0,
"sh053","Beetle","Super Heroes / Ultimate Spider-Man",1,0,
"tlm057","Benny","The Lego Movie / General",1,0,
"tlm094","Benny - Closed Eyes (70818)","The Lego Movie / General",1,0,
"tlm088","Benny's Spaceship Robot - Trans-Red","The Lego Movie / General",1,0,
"tlm089","Benny's Spaceship Robot - Trans-Yellow","The Lego Movie / General",1,0,
"sh043","Bizarro (Comic-Con 2012 Exclusive)","Super Heroes / Superman",0,1,
"twn190","Black Vest with Blue Striped Tie, White Legs, Dark Brown Short Tousled Hair","Town / General",1,0,
"sh035","Black Widow","Super Heroes / Avengers",1,0,
"sp002","Blacktron 2","Space / Blacktron II",0,1,
"cty290","Blue Jacket with Pockets and Orange Stripes, Blue Legs, Black Short Bill Cap, Gray Beard","Town / City",1,0,
"cty500","Blue Jacket with Pockets and Orange Stripes, Dark Blue Legs, Red Cap with Hole, Sunglasses","Town / City / Train",1,0,
"sw299","Bomb Squad Trooper","Star Wars / Star Wars Clone Wars",2,0,
"col151","Bumblebee Girl - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"twn277","Businessman Pinstripe Jacket and Gold Tie, Dark Blue Legs, Medium Dark Flesh Tousled Hair","Town / General",1,0,
"twn191","Businessman Pinstripe Jacket and Gold Tie, Dark Tan Legs, Tan Tousled and Layered Hair","Town / General",1,0,
"hol069","Businessman Pinstripe Jacket and Gold Tie, Light Bluish Gray Legs, Dark Brown Hair Short Tousled with Side Part (10249)","Holiday / Christmas",1,0,
"col292","Butterfly Girl - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"dis003","Buzz Lightyear - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sw365","C-3PO - Colorful Wires Pattern","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw565","C1-10P (Chopper)","Star Wars / Star Wars Rebels",1,0,
"tlm001","Calamity Drone - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"coltlbm18","Calculator - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"sh014","Captain America - Dark Blue Suit","Super Heroes / Avengers",1,0,
"sh247","Captain Cold - Short Legs","Super Heroes / Mighty Micros / Justice League",1,0,
"dis016","Captain Hook - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"tlm033","Cardio Carrie","The Lego Movie / General",1,0,
"hol063","Caroler, Female - Gold Buttons and Holly Lapel Pin (10249)","Holiday / Christmas",1,0,
"hol064","Caroler, Male - Tuxedo Shirt and Gold Watch Fob (10249)","Holiday / Christmas",1,0,
"col203","Carpenter - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"cas524","Castle - Dragon Knight Armor with Dragon Head, Helmet Closed, Red Plume, Black Bushy Eyebrows","Castle / General",2,0,
"cas518a","Castle - Dragon Knight Scale Mail with Dragon Shield and Shoulder Armor, Helmet with Neck Protector, Angry Scowl","Castle / General",6,0,
"cas525","Castle - Dragon Knight Scale Mail with Dragon Shield and Shoulder Armor, Helmet with Neck Protector, Black Beard","Castle / General",1,0,
"cas529","Castle - Dragon Knight Scale Mail with Dragon Shield and Shoulder Armor, Knee Pads, Helmet with Neck Protector, Angry Scowl","Castle / General",1,0,
"cas522","Castle - Dragon Knight Scale Mail with Dragon Shield, Cheek Protection Helmet, Black Beard","Castle / General",1,0,
"cas537","Castle - Dragon Knight Scale Mail with Dragon Shield, Cheek Protection Helmet, Bushy Eyebrows","Castle / General",1,0,
"cas528","Castle - Dragon Knight Scale Mail with Dragon Shield, Cheek Protection Helmet, Missing Tooth Open Grin","Castle / General",7,0,
"cas534","Castle - Dragon Wizard","Castle / General",1,0,
"cas523","Castle - King's Knight Armor with Lion Head with Crown, Helmet with Fixed Grille, Blue Plume","Castle / General",1,0,
"cas532","Castle - King's Knight Armor with Lion Head with Crown, Helmet with Pointed Visor, Blue Plume, Angry Face","Castle / General",1,0,
"cas535","Castle - King's Knight Armor with Lion Head with Crown, Helmet with Pointed Visor, Blue Plume, Determined / Open Mouth Scared Pattern","Castle / General",1,0,
"cas526","Castle - King's Knight Blue and White with Chest Strap and Crown Belt, Helmet with Broad Brim, Open Grin","Castle / General",1,0,
"cas521","Castle - King's Knight Blue and White with Chest Strap and Crown Belt, Helmet with Neck Protector, Angry Eyebrows and Scowl","Castle / General",1,0,
"cas530","Castle - King's Knight Blue and White with Chest Strap and Crown Belt, Helmet with Neck Protector, Scared Face","Castle / General",1,0,
"cas520","Castle - King's Knight Breastplate with Crown and Chain Belt, Helmet with Broad Brim, Cheek Lines","Castle / General",1,0,
"cas516","Castle - King's Knight Breastplate with Crown and Chain Belt, Helmet with Neck Protector, Closed Grin with Stubble","Castle / General",6,0,
"cas517","Castle - King's Knight Scale Mail, Crown Belt, Helmet with Broad Brim, Open Grin","Castle / General",6,0,
"cas531","Castle - King's Knight Scale Mail, Crown Belt, Helmet with Broad Brim, Quiver, Smirk and Stubble Beard","Castle / General",1,0,
"cas536","Castle - King's Knight Scale Mail, Crown Belt, Helmet with Neck Protector, Smirk","Castle / General",1,0,
"cas527","Castle - Lion King","Castle / General",1,0,
"cas533","Castle - Lion Princess","Castle / General",1,0,
"coltlbm16","Catman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"sh006","Catwoman","Super Heroes / Batman II",1,0,
"cty502","Chef - White Torso with 8 Buttons, Black Legs, Glasses","Town / City",1,0,
"twn192","Chef - White Torso with 8 Buttons, White Legs, Standard Grin","Town / General",1,0,
"dis008","Cheshire Cat - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sw532","Chewbacca (Dark Tan fur)","Star Wars / General",1,0,
"sw011a","Chewbacca (Reddish Brown)","Star Wars / Star Wars Episode 4/5/6",0,1,
"col135","Chicken Suit Guy - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",2,0,
"sim021","Chief Wiggum - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"twn250","Child, Red Jacket with Ribbon (10251)","Town / General",1,0,
"gs009","Chuck Stonebreaker","Space / Galaxy Squad",1,0,
"col287","Circus Strong Man","Collectible Minifigures / Series 17 Minifigures",1,0,
"coltlbm04","Clan of the Cave Batman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"njo238","Clancee - Armor (70594)","Ninjago / General",1,0,
"col195","Classic King - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"sp006new2","Classic Space - White with Airtanks and Modern Helmet, Logo High on Torso (Second Reissue)","Space / Classic Space",1,0,
"sp075new","Classic Space Droid with Bar through Torso - Set 5002812","Space / Classic Space",1,0,
"hol056","Classic Space Minifig Floating Pattern, Blue Short Legs, Dark Orange Short Tousled Hair","Holiday / Easter",1,0,
"sw380","Clone Commander Gree","Star Wars / Star Wars Clone Wars",1,0,
"sw442","Clone Trooper","Star Wars / Star Wars Episode 2",4,0,
"sw298","Clone Trooper Clone Wars with Sand Green Markings","Star Wars / Star Wars Clone Wars",1,0,
"sw438","Clone Trooper Sergeant (75000)","Star Wars / Star Wars Episode 2",1,0,
"col231","Clumsy Guy - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"cty474","Coast Guard City - Rescuer (30225)","Town / City / Coast Guard",8,0,
"cty406","Coast Guard City - Rescuer (60011)","Town / City / Coast Guard",1,0,
"cty407","Coast Guard City - Surfer in Wetsuit, Dark Orange Tousled Hair, Crooked Smile","Town / City / Coast Guard",1,0,
"njo090","Cole - Rebooted","Ninjago / General",1,0,
"sim033","Comic Book Guy - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"sw448","Commando Droid Captain (75002)","Star Wars / Star Wars Clone Wars",1,0,
"coltlbm07","Commissioner Gordon - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"col108","Computer Programmer - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",1,0,
"col294","Connoisseur - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"col177","Constable - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"cty549","Construction Worker - Chest Pocket Zippers, Belt over Dark Gray Hoodie, Red Construction Helmet","Town / City / Construction",1,0,
"cty366","Construction Worker - Orange Zipper, Safety Stripes, Orange Arms, Dark Tan Legs, Red Construction Helmet, Safety Goggles","Town / City / Construction",2,0,
"col289","Corn Cob Guy - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"loc013","Crawley","Legends of Chima / General",1,0,
"cas542","Crusader Lion - Light Bluish Gray Legs, Light Bluish Gray Neck-Protector (Reissue)","Castle / Crusaders",1,0,
"nex026","Crust Smasher","Nexo Knights / General",3,0,
"col246","Cyborg - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col130","Cyclops - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"dis009","Daisy Duck - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"sw567","Dak Ralter (with Pockets on Legs) (75049)","Star Wars / Star Wars Episode 4/5/6",1,0,
"col299","Dance Instructor - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"col103","Daredevil - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",2,0,
"gs007","Dark Azure Robot Sidekick","Space / Galaxy Squad",1,0,
"gs002","Dark Azure Robot Sidekick with Jet Pack","Space / Galaxy Squad",2,0,
"cty506","Dark Blue Jacket, Light Blue Shirt, Sand Blue Legs, Dark Orange Short Tousled Hair","Town / City",1,0,
"cty505","Dark Blue Suit with Train Logo, Dark Blue Legs, Dark Red Hat, Cheek Lines","Train / General",1,0,
"cty370","Dark Bluish Gray Jacket with Magenta Scarf, Dark Tan Legs, Dark Orange Female Hair over Shoulder","Town / City",1,0,
"hol068","Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Dark Orange Hair Ponytail Long with Side Bangs (10249)","Holiday / Christmas",1,0,
"twn218","Dart Player (10246)","Town / General",1,0,
"sh032","Deadpool","Super Heroes / X-Men",1,0,
"sw374","Death Star Trooper (9492)","Star Wars / Star Wars Episode 4/5/6",1,0,
"col159","Decorator - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"twn253","Deli Owner (31050)","Town / General",1,0,
"twn223","Detective Ace Brickman (10246)","Town / General",1,0,
"coltlbm09","Dick Grayson - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"col175","Diner Waitress - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col188","Dino Tracker - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"col207","Disco Diva - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"idea002","Doc Brown","LEGO Ideas / General",1,0,
"col255","Dog Show Winner - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"dis010","Donald Duck - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"lor047","Dori the Dwarf","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"sh052","Dr. Doom","Super Heroes / Ultimate Spider-Man",1,0,
"sim042","Dr. Hibbert - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"uagt027","Drillex","Ultra Agents / General",1,0,
"sw447","Droideka (Sniper Droid)","Star Wars / Star Wars Clone Wars",1,0,
"sw441","Droideka, Pearl Dark Gray Arms Mechanical (75000)","Star Wars / Star Wars Episode 2",2,0,
"njo237","Echo Zane (70594)","Ninjago / General",1,0,
"sim040","Edna Krabappel - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"col202","Egyptian Warrior - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"sh105","Electro","Super Heroes / Ultimate Spider-Man",1,0,
"hol045","Elf - Blue Overalls (10245)","Holiday / Christmas",1,0,
"hol050","Elf - Dark Red Flannel Shirt (40106)","Holiday / Christmas",1,0,
"hol049","Elf - Female Medium Blue Top (40106)","Holiday / Christmas",1,0,
"hol044","Elf - Green Overalls (10245)","Holiday / Christmas",1,0,
"hol047","Elf - Plaid Button Shirt (10245)","Holiday / Christmas",1,0,
"hol046","Elf - White Stripes (10245)","Holiday / Christmas",1,0,
"col300","Elf Girl - Minifig only Entry","Collectible Minifigures / Series 17 Minifigures",1,0,
"elf005","Emily Jones, Sand Blue Shorts","Elves / General",1,0,
"tlm018","Emmet - Lopsided Closed Mouth Smile, with Piece of Resistance","The Lego Movie / General",1,0,
"tlm096","Emmet - Lopsided Open Mouth Smile (70818)","The Lego Movie / General",1,0,
"tlm066","Emmet - Wide Smile, without Piece of Resistance","The Lego Movie / General",2,0,
"coltlbm12","Eraser - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"loc037","Eris - Pearl Gold Heavy Armor","Legends of Chima / General",1,0,
"sw392","Even Piell","Star Wars / Star Wars Clone Wars",1,0,
"col166","Evil Mech - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col204","Evil Wizard - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"loc014","Ewar - Pearl Gold Armor","Legends of Chima / General",1,0,
"sh071","Extremis Soldier","Super Heroes / Iron Man 3",1,0,
"sw574a","Ezra Bridger with Helmet","Star Wars / Star Wars Rebels",1,0,
"coltlbm03","Fairy Batman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"col181","Fairytale Princess - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"cas362","Fantasy Era - Crown Knight Quarters, Helmet with Neck Protector, Scowl","Castle / Fantasy Era",1,0,
"col228","Farmer - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"elf006","Farran Leafshade, Dark Green Trousers","Elves / General",1,0,
"col234","Faun - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"hol072","Female Corset with Gold Panel Front and Lace Up Back Pattern, Red Legs, Dark Bluish Gray Hair with Top Knot Bun (Thanksgiving Mom)","Holiday / Thanksgiving",1,0,
"col205","Fencer - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"dim038","Finn the Human - Dimensions Level Pack","Dimensions / Adventure Time",1,0,
"cty173","Fire - Reflective Stripes, Black Legs, Silver Fire Helmet, Thin Grin with Teeth","Town / City / Fire",1,0,
"nex003","Flame Thrower","Nexo Knights / General",2,0,
"cty467","Flannel Shirt with Pocket and Belt, Dark Tan Legs, Red Construction Helmet, Beard","Town / City",1,0,
"coltlnm15","Flashback Garmadon - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"tnt039","Flashback Shredder","Teenage Mutant Ninja Turtles / General",1,0,
"njo239","Flintlocke - Armor (70594)","Ninjago / General",1,0,
"col216","Fly Monster - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",1,0,
"col233","Flying Warrior - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"tnt011","Foot Soldier (Black)","Teenage Mutant Ninja Turtles / General",1,0,
"col143","Forest Maiden - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"col137","Fortune Teller - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"njo244","Frakjaw - with Black Armor, Aviator Helmet and Goggles (70592)","Ninjago / General",1,0,
"mof015","Frank Rock","Monster Fighters / General",1,0,
"tlm047","Frank the Foreman","The Lego Movie / General",1,0,
"frnd105","Friends Olivia, Dark Blue Cropped Trousers, Magenta Top, Magenta Bow","Friends / General",5,0,
"frnd048","Friends Olivia, Lime Cropped Trousers, Bright Pink Top","Friends / General",1,0,
"col230","Frightening Knight - Minifig only Entry","Collectible Minifigures / Series 15 Minifigures",1,0,
"loc036","G'Loona","Legends of Chima / General",1,0,
"tlm009","Gail the Construction Worker - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"col210","Galaxy Trooper - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",1,0,
"lor001","Gandalf the Grey - Wizard / Witch Hat","The Hobbit and the Lord of the Rings / General",1,0,
"col220","Gargoyle - Minifig only Entry","Collectible Minifigures / Series 14 Minifigures",2,0,
"sw557","General Airen Cracken (75050)","Star Wars / Star Wars Episode 4/5/6",1,0,
"njo074","General Kozu - Red","Ninjago / General",1,0,
"sh078","General Zod","Super Heroes / Man of Steel",1,0,
"dis005","Genie - Minifig only Entry","Collectible Minifigures / Disney",1,0,
"col193","Genie Girl - Minifig only Entry","Collectible Minifigures / Series 12 Minifigures",1,0,
"sw381","Geonosian Warrior with Wings (9491)","Star Wars / Star Wars Clone Wars",1,0,
"sw382","Geonosian Zombie with Wings (9491)","Star Wars / Star Wars Clone Wars",1,0,
"col168","Gingerbread Man - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"twn254","Girl, Denim Jacket, Blue Short Legs (31050)","Town / General",1,0,
"coltlbm02","Glam Metal Batman - Minifig Only Entry","Collectible Minifigures / The LEGO Batman Movie",1,0,
"col199","Goblin - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",2,0,
"lor042","Goblin King","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"lor044","Goblin Scribe","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"lor043","Goblin Soldier 1","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"lor032","Goblin Soldier 2","The Hobbit and the Lord of the Rings / The Hobbit",1,0,
"coltlnm17","Gong & Guitar Rocker - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"loc035","Gorzan - Dark Brown Heavy Armor","Legends of Chima / General",1,0,
"col288","Gourmet Chef","Collectible Minifigures / Series 17 Minifigures",1,0,
"coltlnm18","GPL Tech - Minifig Only Entry, no stand, no accessories","Collectible Minifigures / The LEGO Ninjago Movie",1,0,
"col176","Grandma - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col112","Grandma Visitor - Minifig only Entry","Collectible Minifigures / Series  7 Minifigures",1,0,
"col152","Grandpa - Minifig only Entry","Collectible Minifigures / Series 10 Minifigures",1,0,
"sim012","Grandpa Simpson - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sw558","Gray Squadron Pilot (75050)","Star Wars / Star Wars Episode 4/5/6",1,0,
"sh153","Green Arrow","Super Heroes / Justice League",1,0,
"cty503","Green V-Neck Sweater, Blue Legs, Black Short Tousled Hair, Lopsided Grin","Town / City",1,0,
"hol071","Green V-Neck Sweater, Dark Bluish Gray Legs, Light Bluish Gray Short Tousled Hair, Beard (Thanksgiving Pop)","Holiday / Thanksgiving",1,0,
"loc040","Grizzam","Legends of Chima / General",1,0,
"sim039","Groundskeeper Willie - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"loc028","Grumlo - Dark Brown Heavy Armor","Legends of Chima / General",1,0,
"lor088","Gundabad Orc - Bald","The Hobbit and the Lord of the Rings / The Hobbit",2,0,
"lor089","Gundabad Orc - Bald with Shoulder Spikes","The Hobbit and the Lord of the Rings / The Hobbit",2,0,
"sw466","Han Solo (Hoth)","Star Wars / Star Wars Episode 4/5/6",3,0,
"sw539","Han Solo, Dark Blue Legs, Vest with Pockets","Star Wars / Star Wars Episode 4/5/6",1,0,
"sw451","Han Solo, Reddish Brown Legs with Holster Pattern, Vest with Pockets","Star Wars / Star Wars Episode 4/5/6",1,0,
"sim036","Hans Moleman - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"tlm003","Hard Hat Emmet - Minifig only Entry","Collectible Minifigures / The Lego Movie",1,0,
"sh034","Hawkeye","Super Heroes / Avengers",1,0,
"sw576","Hera Syndulla","Star Wars / Star Wars Rebels",1,0,
"hf007","Hero Factory Jumper 1 (Black Top / Lime Base)","Hero Factory / Villains",2,0,
"hf008","Hero Factory Jumper 2 (Black Top / Orange Base)","Hero Factory / Villains",4,0,
"hf009","Hero Factory Jumper 3 (Black Top / Red Base)","Hero Factory / Villains",3,0,
"hf006","Hero Factory Mini - Breez - Flat Silver Armor with Rocket Jets","Hero Factory / Heroes",1,0,
"hf014","Hero Factory Mini - Bulk with Rocket Jets","Hero Factory / Heroes",1,0,
"hf001","Hero Factory Mini - Evo with Datapad","Hero Factory / Heroes",3,0,
"hf003","Hero Factory Mini - Furno - Bright Light Blue Head","Hero Factory / Heroes",2,0,
"hf004","Hero Factory Mini - Rocka - Pearl Dark Gray Armor","Hero Factory / Heroes",1,0,
"hf002","Hero Factory Mini - Stormer with Datapad","Hero Factory / Heroes",2,0,
"col132","Heroic Knight - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"col249","Hiker - Minifig only Entry","Collectible Minifigures / Series 16 Minifigures",1,0,
"col169","Holiday Elf - Minifig only Entry","Collectible Minifigures / Series 11 Minifigures",1,0,
"col131","Hollywood Starlet - Minifig only Entry","Collectible Minifigures / Series  9 Minifigures",1,0,
"sim007","Homer Simpson - Minifig only Entry","Collectible Minifigures / The Simpsons",1,0,
"sim028","Homer Simpson with Tie and Jacket - Minifig only Entry","Collectible Minifigures / The Simpsons Series 2",1,0,
"col208","Hot Dog Man - Minifig only Entry","Collectible Minifigures / Series 13 Minifigures",10,0,
